customer_id,age,gender,tenure_months,contract_type,monthly_charges,support_tickets,payment_delays,satisfaction_score,churn
C0054,19,Male,37,Monthly,526.16,5,1,2.2,1
C0055,37,Male,22,Monthly,1078.83,1,0,3.1,1
C0056,45,Female,68,1-Year,1118.62,3,2,1.7,0
C0057,64,Male,20,1-Year,993.01,1,0,4.9,0
C0058,24,Female,68,Monthly,606.78,5,0,1.4,0
C0059,61,Female,64,2-Year,552.43,2,0,4.7,0
C0060,25,Male,17,2-Year,976.97,0,1,4.7,0
C0061,64,Female,12,2-Year,1325.92,1,2,3.1,1
C0062,52,Female,22,Monthly,1430.75,2,0,3.9,1
C0063,31,Female,17,1-Year,337.68,0,3,,0
C0064,34,Male,10,2-Year,401.28,1,2,3.5,0
C0065,53,Female,65,1-Year,1428.16,3,0,2.4,0
C0066,67,Female,22,Monthly,1157.5,0,2,2.2,1
C0067,57,Female,50,Monthly,1347.89,0,1,3.3,1
C0068,21,Male,14,1-Year,463.42,2,0,3.0,0
C0069,19,Female,64,2-Year,963.86,2,0,3.3,0
C0070,23,Male,47,1-Year,1111.48,2,1,2.1,0
C0071,59,Male,29,1-Year,1084.15,4,1,2.5,1
C0072,21,Male,36,Monthly,730.6,3,0,1.3,1
C0073,46,Male,52,1-Year,220.01,1,1,1.2,0
C0074,35,Male,7,2-Year,957.8,3,2,2.0,1
C0075,43,Male,29,Monthly,,1,0,1.3,0
C0076,61,Female,11,1-Year,785.33,3,1,1.4,1
C0077,51,Male,33,2-Year,1444.86,3,1,4.3,0
C0078,27,Female,6,Monthly,718.75,2,3,1.2,1
C0079,53,Female,32,1-Year,1291.74,3,1,3.6,1
C0080,31,Male,51,Monthly,445.1,2,1,2.1,0
C0081,48,Female,58,1-Year,1074.2,3,2,4.5,0
C0082,65,Female,26,1-Year,1470.11,1,2,2.9,0
C0083,32,Female,46,1-Year,332.46,3,0,2.2,1
C0084,25,Female,29,1-Year,210.82,2,2,3.1,0
C0085,31,Male,4,Monthly,763.66,4,2,2.5,1
C0086,40,Female,13,2-Year,320.41,3,0,3.3,0
C0087,57,Male,39,1-Year,1172.9,1,2,1.5,1
C0088,38,Female,15,Monthly,1388.91,1,0,5.0,0
C0089,33,Female,29,1-Year,764.23,2,2,2.7,1
C0090,62,Male,29,1-Year,536.33,4,1,2.4,1
C0091,35,Female,32,Monthly,764.72,2,2,3.8,0
C0092,64,Female,2,2-Year,1140.48,3,0,2.5,1
C0093,41,Female,47,2-Year,211.77,1,1,4.3,0
C0094,43,Male,22,Monthly,966.29,2,1,2.8,1
C0095,42,Female,27,2-Year,997.28,4,1,3.9,0
C0096,62,Male,67,Monthly,1028.99,4,2,1.4,0
C0097,58,Female,56,Monthly,514.63,1,1,4.4,0
C0098,46,Male,21,Monthly,1128.27,3,1,3.9,1
C0099,32,Male,47,2-Year,318.81,0,1,1.8,0
C0100,62,Female,59,1-Year,459.05,2,2,,0
C0101,18,Female,6,Monthly,1340.71,5,3,,1
C0102,42,Male,19,Monthly,1160.34,1,0,4.9,0
C0103,24,Male,57,1-Year,217.87,2,1,2.0,0
C0104,26,Female,69,Monthly,522.89,2,1,2.8,0
C0105,41,Male,3,2-Year,478.73,0,0,1.1,1
C0106,18,Female,1,2-Year,552.05,3,1,2.6,1
C0107,61,Female,58,1-Year,521.83,1,1,3.3,0
C0108,25,Female,38,2-Year,281.28,4,0,4.8,0
C0109,41,Female,15,Monthly,796.62,5,0,3.1,1
C0110,28,Male,34,2-Year,1152.55,3,1,4.3,0
C0111,68,Female,61,1-Year,988.75,2,1,3.2,0
C0112,34,Male,35,1-Year,1074.73,0,4,1.2,1
C0113,25,Female,64,Monthly,305.49,3,0,2.3,0
C0114,52,Male,25,2-Year,1436.94,1,0,3.3,0
C0115,52,Female,24,Monthly,1290.04,1,3,4.8,1
C0116,50,Male,12,Monthly,1246.62,1,2,4.4,1
C0117,22,Male,18,Monthly,1269.88,1,1,1.9,1
C0118,59,Female,15,1-Year,1412.52,2,1,1.9,1
C0119,56,Female,27,1-Year,907.53,2,1,1.8,1
C0120,58,Female,72,1-Year,460.37,1,2,4.7,0
C0121,45,Female,60,2-Year,1001.82,0,2,4.4,0
C0122,24,Male,46,Monthly,1165.75,5,1,4.1,0
C0123,26,Female,17,1-Year,1159.29,0,0,2.6,1
C0124,25,Male,53,Monthly,877.88,0,2,3.0,0
C0125,29,Male,8,2-Year,289.0,1,3,2.9,0
C0126,51,Female,27,2-Year,682.45,1,1,2.0,0
C0127,50,Male,46,1-Year,,3,1,3.0,0
C0128,65,Male,50,1-Year,959.78,1,0,1.1,0
C0129,40,Male,71,Monthly,899.83,0,1,1.5,0
C0130,41,Male,3,1-Year,549.51,1,0,4.5,0
C0131,54,Female,64,2-Year,678.98,4,0,4.0,0
C0132,52,Female,44,1-Year,1363.95,2,1,2.7,0
C0133,61,Female,53,Monthly,1066.4,0,1,3.1,0
C0134,57,Female,24,1-Year,1223.6,3,0,2.5,1
C0135,39,Male,60,2-Year,790.65,1,1,4.0,0
C0136,44,Male,3,Monthly,1019.32,1,0,4.1,1
C0137,52,Female,20,Monthly,522.9,0,0,4.1,0
C0138,18,Female,46,1-Year,1117.1,3,2,3.9,0
C0139,52,Female,15,2-Year,755.88,1,2,1.8,1
C0140,54,Male,25,Monthly,775.31,0,0,,0
C0141,64,Female,71,Monthly,1044.12,2,2,2.9,1
C0142,31,Female,17,Monthly,1417.16,3,0,2.3,1
C0143,20,Female,9,Monthly,283.21,1,0,4.0,0
C0144,18,Male,38,1-Year,1272.17,5,1,2.3,1
C0145,22,Male,48,1-Year,580.1,3,1,1.6,1
C0146,43,Male,60,1-Year,777.1,3,0,2.6,0
C0147,31,Male,63,1-Year,228.49,4,3,4.9,0
C0148,56,Male,2,Monthly,591.36,1,0,1.9,1
C0149,44,Male,72,2-Year,853.42,2,1,3.4,0
C0150,26,Male,11,1-Year,273.03,2,1,2.7,1
C0151,32,Male,64,2-Year,838.42,2,1,1.3,0
C0152,32,Female,72,1-Year,1405.24,2,1,3.0,0
C0153,43,Female,21,Monthly,337.01,3,1,3.8,1
C0154,59,Male,18,1-Year,1193.77,3,1,3.1,1
C0155,30,Male,64,Monthly,732.57,2,2,4.5,0
C0156,68,Female,38,1-Year,1051.73,3,1,2.2,0
C0157,49,Male,32,Monthly,538.31,1,2,1.3,1
C0158,56,Male,11,Monthly,407.34,3,0,4.7,0
C0159,66,Male,45,2-Year,408.6,5,0,2.5,0
C0160,69,Female,33,Monthly,291.64,0,1,3.3,0
C0161,49,Female,41,2-Year,441.34,1,1,4.2,0
C0162,21,Female,8,Monthly,1063.49,2,1,2.3,1
C0163,47,Female,11,1-Year,1346.2,0,1,3.9,0
C0164,54,Female,51,1-Year,,2,1,1.5,1
C0165,40,Male,41,1-Year,1090.67,0,0,2.2,0
C0166,56,Female,17,Monthly,343.56,2,0,1.6,0
C0167,62,Male,46,Monthly,575.94,1,1,4.2,0
C0168,32,Male,32,Monthly,602.75,3,1,1.9,0
C0169,60,Female,54,Monthly,,2,3,3.9,0
C0170,46,Female,20,1-Year,869.51,5,0,4.8,0
C0171,53,Male,33,2-Year,896.22,3,0,3.1,0
C0172,30,Male,40,2-Year,663.95,1,0,3.2,0
C0173,49,Male,32,1-Year,659.93,1,1,2.8,0
C0174,24,Female,2,1-Year,1277.12,3,2,2.3,1
C0175,68,Female,33,1-Year,1226.08,0,1,2.9,0
C0176,39,Female,30,Monthly,600.13,0,0,3.4,0
C0177,45,Female,33,2-Year,1387.92,1,1,4.9,0
C0178,19,Female,26,1-Year,1438.66,1,2,4.8,1
C0179,59,Male,22,1-Year,624.77,2,0,4.4,0
C0180,62,Female,66,Monthly,660.75,4,1,4.6,0
C0181,23,Male,38,Monthly,,2,0,2.9,1
C0182,45,Male,46,1-Year,1423.46,6,3,3.6,0
C0183,45,Male,15,2-Year,1339.22,1,2,4.6,0
C0184,61,Female,44,1-Year,333.34,2,2,2.6,0
C0185,61,Female,49,Monthly,710.55,1,1,,0
C0186,37,Female,61,2-Year,919.38,3,1,2.7,0
C0187,47,Male,67,Monthly,854.07,3,3,3.4,0
C0188,28,Male,6,Monthly,452.02,2,1,3.8,0
C0189,45,Male,9,Monthly,1316.46,4,0,4.8,1
C0190,42,Male,6,1-Year,1080.02,2,1,2.0,1
C0191,56,Male,32,2-Year,1289.28,3,1,4.0,0
C0192,50,Male,41,Monthly,1316.39,2,1,3.1,0
C0193,18,Female,8,2-Year,1172.86,2,3,2.1,1
C0194,44,Female,72,Monthly,770.97,1,0,4.1,0
C0195,69,Female,50,2-Year,993.71,3,1,3.2,0
C0196,30,Female,62,1-Year,408.48,3,1,3.6,0
C0197,58,Male,62,2-Year,1075.74,2,0,2.3,0
C0198,20,Male,7,Monthly,433.03,0,2,2.9,1
C0199,56,Female,4,2-Year,1102.13,1,0,3.5,0
C0200,23,Male,6,1-Year,498.48,1,0,2.6,0
C0201,25,Female,58,Monthly,352.82,5,2,1.8,1
C0202,44,Female,22,2-Year,414.87,1,0,4.8,0
C0203,26,Female,26,Monthly,202.59,3,2,3.0,0
C0204,54,Male,3,2-Year,1134.36,2,0,3.9,1
C0205,50,Female,41,Monthly,1152.12,3,0,2.6,0
C0206,68,Female,60,1-Year,869.41,4,2,2.4,0
C0207,59,Female,14,1-Year,409.77,3,1,,1
C0208,61,Male,12,Monthly,308.62,3,1,2.6,0
C0209,41,Male,12,Monthly,,2,2,3.2,1
C0210,32,Female,13,Monthly,415.47,3,0,3.2,0
C0211,49,Male,25,1-Year,1358.11,2,0,3.0,1
C0212,49,Male,45,Monthly,514.0,2,0,1.5,1
C0213,41,Male,19,1-Year,660.55,5,1,3.0,1
C0214,58,Male,55,Monthly,336.95,4,1,1.7,0
C0215,69,Male,45,Monthly,489.07,1,1,1.5,0
C0216,66,Male,8,1-Year,874.99,2,0,4.7,1
C0217,66,Male,53,Monthly,990.08,3,0,3.4,0
C0218,69,Male,55,2-Year,518.96,2,0,3.6,0
C0219,29,Male,32,2-Year,275.05,2,2,2.6,0
C0220,56,Male,51,1-Year,708.34,0,1,4.6,0
C0221,19,Female,44,1-Year,504.46,3,0,3.6,0
C0222,20,Female,70,2-Year,485.42,2,0,4.1,0
C0223,66,Male,18,Monthly,1447.82,3,1,2.5,1
C0224,54,Female,22,Monthly,1001.19,2,0,4.8,0
C0225,66,Female,37,Monthly,923.94,3,0,4.3,1
C0226,34,Male,56,1-Year,740.51,2,0,4.4,0
C0227,66,Male,59,Monthly,757.63,2,1,1.7,1
C0228,19,Male,3,1-Year,903.18,2,0,2.1,1
C0229,19,Female,28,2-Year,1105.36,3,1,2.1,1
C0230,45,Female,35,2-Year,1112.79,2,2,2.1,0
C0231,40,Male,61,1-Year,423.2,1,1,4.4,0
C0232,54,Male,54,Monthly,850.15,1,1,1.1,0
C0233,49,Male,63,2-Year,735.55,3,0,1.3,0
C0234,50,Female,7,1-Year,1331.69,0,3,2.1,1
C0235,18,Female,49,Monthly,1020.84,0,1,1.8,0
C0236,36,Female,31,Monthly,892.26,3,0,1.9,1
C0237,19,Female,58,2-Year,350.01,2,1,4.2,0
C0238,61,Male,61,1-Year,987.33,2,1,3.3,0
C0239,43,Male,24,2-Year,352.37,0,1,1.0,0
C0240,49,Male,20,2-Year,638.37,2,2,2.7,0
C0241,23,Male,37,1-Year,385.69,1,0,2.6,1
C0242,49,Female,4,1-Year,1099.7,2,1,1.5,1
C0243,21,Female,20,Monthly,468.13,3,2,3.7,1
C0244,28,Male,60,Monthly,709.42,1,1,3.8,0
C0245,34,Male,24,Monthly,1364.38,5,0,3.9,1
C0246,55,Female,50,1-Year,465.61,1,2,3.9,0
C0247,41,Male,49,1-Year,860.15,2,0,1.0,0
C0248,22,Female,51,2-Year,745.05,2,1,4.8,0
C0249,69,Male,36,Monthly,223.56,1,1,4.3,0
C0250,51,Male,66,1-Year,1230.59,3,2,4.6,0
C0251,23,Male,34,1-Year,289.76,1,1,1.1,0
C0252,39,Male,36,1-Year,816.53,1,1,4.7,0
C0253,28,Male,6,1-Year,928.88,1,2,4.2,1
C0254,65,Male,39,Monthly,1016.95,1,0,4.3,0
C0255,33,Male,42,1-Year,1095.22,4,1,1.4,1
C0256,50,Female,58,Monthly,529.25,0,1,4.0,0
C0257,26,Female,12,Monthly,212.97,1,1,4.8,0
C0258,23,Female,3,1-Year,1140.48,1,0,3.7,0
C0259,33,Female,18,1-Year,896.35,1,2,3.3,0
C0260,46,Female,40,2-Year,1286.95,1,0,4.8,0
C0261,20,Male,21,1-Year,1267.8,1,4,2.8,1
C0262,37,Male,15,1-Year,1296.32,0,0,3.4,0
C0263,53,Female,26,1-Year,830.62,3,2,2.9,1
C0264,36,Male,8,1-Year,633.72,0,0,4.7,0
C0265,43,Female,42,Monthly,1229.03,3,1,1.3,1
C0266,20,Female,44,Monthly,786.68,1,1,3.0,1
C0267,36,Male,14,Monthly,438.47,6,2,3.7,1
C0268,37,Male,2,1-Year,1311.47,1,1,4.2,1
C0269,49,Male,37,Monthly,1347.33,2,1,3.3,1
C0270,24,Female,69,Monthly,806.2,1,0,4.6,0
C0271,69,Male,38,Monthly,298.41,1,0,4.8,0
C0272,58,Female,41,2-Year,704.17,4,0,1.3,1
C0273,50,Female,62,Monthly,,1,0,2.6,0
C0274,57,Female,60,1-Year,1372.31,2,2,1.1,0
C0275,56,Male,14,Monthly,464.51,3,1,2.3,1
C0276,35,Male,2,1-Year,,0,1,3.1,0
C0277,57,Female,70,Monthly,1340.56,1,0,4.6,0
C0278,18,Male,17,Monthly,706.23,1,0,4.4,0
C0279,28,Male,28,1-Year,904.29,1,2,1.5,1
C0280,45,Male,66,Monthly,1458.49,3,0,1.4,0
C0281,42,Female,35,Monthly,286.53,1,1,3.4,0
C0282,67,Female,5,Monthly,1042.81,2,3,3.1,1
C0283,40,Male,65,Monthly,296.34,3,1,2.1,0
C0284,48,Female,40,Monthly,688.11,1,1,4.6,0
C0285,47,Male,56,Monthly,1244.96,2,0,4.7,0
C0286,59,Male,36,2-Year,763.51,3,1,2.6,0
C0287,52,Male,45,1-Year,1496.34,1,3,4.6,0
C0288,24,Male,23,1-Year,926.78,2,1,2.5,0
C0289,33,Female,47,Monthly,617.51,3,2,3.9,0
C0290,43,Female,31,2-Year,486.14,2,1,2.9,0
C0291,65,Female,11,Monthly,655.68,0,0,1.5,1
C0292,69,Male,10,Monthly,684.29,3,1,4.7,1
C0293,66,Male,67,1-Year,289.33,2,1,2.8,0
C0294,19,Male,14,Monthly,680.45,2,0,,1
C0295,18,Female,10,Monthly,803.51,0,3,,1
C0296,65,Male,1,1-Year,1139.56,1,1,1.1,1
C0297,29,Female,5,2-Year,1053.75,0,0,1.4,1
C0298,22,Female,20,1-Year,1121.4,1,0,,0
C0299,54,Female,8,1-Year,210.87,1,1,3.8,0
C0300,49,Female,43,2-Year,482.97,2,1,2.3,0
C0301,26,Female,1,Monthly,1060.19,3,1,3.8,1
C0302,58,Female,57,Monthly,829.19,3,0,3.8,0
C0303,52,Male,64,Monthly,,2,3,3.8,0
C0304,36,Male,28,Monthly,1245.84,2,1,3.0,1
C0305,65,Female,37,Monthly,1204.65,4,0,4.7,0
C0306,33,Female,47,2-Year,912.94,1,1,3.0,0
C0307,20,Male,37,1-Year,286.4,3,1,2.8,0
C0308,37,Female,49,1-Year,1196.47,3,2,1.8,1
C0309,41,Female,44,Monthly,958.83,4,1,2.2,1
C0310,50,Male,56,2-Year,1216.55,2,1,1.2,0
C0311,41,Female,28,2-Year,1177.27,4,0,3.5,1
C0312,69,Female,6,2-Year,1243.9,3,0,2.0,1
C0313,28,Female,61,Monthly,873.41,2,0,2.2,0
C0314,66,Male,20,1-Year,382.42,3,1,4.1,0
C0315,25,Male,2,Monthly,1072.5,2,0,2.3,1
C0316,53,Male,37,Monthly,1006.62,2,1,,1
C0317,55,Female,20,Monthly,1164.93,4,2,1.7,1
C0318,57,Female,26,1-Year,420.85,4,2,4.1,0
C0319,37,Male,29,1-Year,453.47,1,1,1.5,0
C0320,52,Female,1,Monthly,1357.53,1,2,2.8,1
C0321,65,Female,35,Monthly,1174.97,0,2,3.0,1
C0322,42,Female,70,1-Year,1380.7,3,1,3.7,0
C0323,52,Female,59,Monthly,1186.33,1,2,3.5,0
C0324,42,Female,69,Monthly,976.3,6,0,4.2,0
C0325,46,Male,33,Monthly,1050.37,1,1,1.2,1
C0326,35,Female,51,1-Year,1355.87,1,0,2.2,0
C0327,63,Male,12,Monthly,952.45,3,1,2.1,1
C0328,35,Female,20,Monthly,1022.11,3,1,1.6,1
C0329,19,Male,53,Monthly,403.42,0,0,2.2,0
C0330,52,Female,43,2-Year,816.1,2,1,2.2,0
C0331,33,Male,50,1-Year,1131.32,1,0,3.1,0
C0332,58,Female,29,1-Year,552.23,3,0,3.7,0
C0333,53,Male,57,Monthly,462.93,1,1,2.5,0
C0334,50,Female,39,1-Year,607.97,3,0,3.9,0
C0335,21,Male,56,Monthly,513.95,5,0,2.3,1
C0336,50,Female,43,1-Year,479.39,0,3,2.2,0
C0337,31,Male,50,2-Year,752.31,1,1,3.2,0
C0338,38,Male,23,1-Year,1380.19,2,1,1.1,1
C0339,65,Female,44,2-Year,859.18,1,2,1.3,0
C0340,37,Female,38,1-Year,444.3,5,0,2.7,0
C0341,25,Male,23,Monthly,300.06,1,0,4.8,0
C0342,24,Female,45,2-Year,1105.0,3,3,3.9,0
C0343,20,Male,52,Monthly,697.64,2,3,1.4,1
C0344,34,Male,50,1-Year,1268.38,2,1,4.4,0
C0345,50,Male,8,Monthly,1057.36,0,2,3.9,1
C0346,65,Female,1,Monthly,1235.11,2,0,3.4,0
C0347,29,Male,8,Monthly,,2,2,4.3,1
C0348,68,Male,29,Monthly,1100.07,4,1,2.6,1
C0349,39,Female,5,1-Year,543.28,0,2,,1
C0350,39,Female,47,1-Year,1420.79,3,0,3.0,0
C0351,63,Female,34,Monthly,1027.29,3,1,3.2,1
C0352,47,Female,65,Monthly,621.87,3,1,3.2,0
C0353,55,Male,55,1-Year,550.37,2,3,3.3,0
C0354,55,Male,43,Monthly,448.2,0,1,4.8,0
C0355,62,Male,30,1-Year,1103.03,2,0,4.6,0
C0356,68,Male,17,1-Year,484.33,2,3,4.5,0
C0357,25,Female,26,2-Year,973.89,1,0,4.2,0
C0358,44,Male,8,1-Year,544.03,0,0,,0
C0359,44,Male,47,Monthly,1060.56,0,2,1.4,0
C0360,51,Female,72,1-Year,1259.42,1,1,2.1,0
C0361,38,Male,46,Monthly,1211.43,0,0,3.0,0
C0362,47,Male,68,Monthly,1189.11,2,0,4.4,0
C0363,50,Male,33,1-Year,444.04,1,1,3.0,0
C0364,45,Male,1,Monthly,314.9,3,1,4.0,1
C0365,64,Male,19,1-Year,,1,3,1.6,1
C0366,50,Male,31,2-Year,678.85,1,1,2.0,0
C0367,22,Female,14,2-Year,762.05,6,2,3.9,1
C0368,65,Female,53,2-Year,240.49,3,0,1.7,0
C0369,36,Male,48,Monthly,537.45,1,2,2.4,0
C0370,21,Male,69,Monthly,243.78,1,1,2.1,0
C0371,52,Female,62,1-Year,1342.94,4,0,2.4,0
C0372,66,Male,66,Monthly,516.42,3,1,3.8,0
C0373,34,Male,64,1-Year,924.54,0,2,2.5,0
C0374,61,Male,70,1-Year,250.67,0,1,3.2,0
C0375,45,Female,63,1-Year,,3,1,1.4,0
C0376,47,Male,33,Monthly,619.94,3,1,4.2,0
C0377,46,Female,41,Monthly,1367.29,4,1,2.5,0
C0378,63,Male,48,Monthly,1354.55,2,0,3.6,0
C0379,23,Female,13,Monthly,622.88,1,1,3.9,0
C0380,52,Female,31,2-Year,1371.25,4,1,1.8,1
C0381,58,Male,68,Monthly,1495.0,2,1,4.5,0
C0382,54,Female,4,Monthly,1273.04,1,1,3.5,1
C0383,41,Male,19,Monthly,1298.33,2,1,,1
C0384,46,Female,70,1-Year,523.71,2,2,1.7,0
C0385,66,Male,13,1-Year,949.71,2,1,4.8,0
C0386,63,Male,23,Monthly,287.43,1,1,4.0,0
C0387,48,Female,1,Monthly,323.39,0,2,1.8,1
C0388,52,Male,54,Monthly,1498.56,3,1,2.4,1
C0389,50,Male,71,Monthly,624.63,4,1,4.2,0
C0390,69,Female,15,1-Year,1172.64,6,1,3.8,1
C0391,38,Male,65,1-Year,1248.66,4,0,4.1,0
C0392,49,Male,71,Monthly,1315.43,2,0,2.8,0
C0393,40,Female,15,Monthly,1496.92,1,0,3.9,1
C0394,50,Female,21,2-Year,513.95,4,0,2.5,1
C0395,20,Male,19,1-Year,252.46,2,3,1.8,1
C0396,35,Male,60,1-Year,734.55,3,0,3.5,0
C0397,42,Female,33,Monthly,369.1,2,1,4.9,0
C0398,59,Female,49,1-Year,229.15,3,2,2.2,0
C0399,48,Male,35,Monthly,668.55,0,1,2.8,0
C0400,20,Female,44,1-Year,1218.86,2,1,,0
C0401,57,Male,11,2-Year,936.03,2,0,3.2,1
C0402,63,Male,72,Monthly,606.61,2,1,4.4,0
C0403,41,Male,66,Monthly,1050.64,3,1,4.0,0
C0404,67,Male,46,Monthly,501.62,2,1,1.2,0
C0405,49,Male,9,Monthly,218.7,2,0,5.0,0
C0406,64,Female,3,Monthly,1193.66,3,0,4.0,1
C0407,39,Female,26,Monthly,1010.87,5,0,4.5,1
C0408,40,Female,72,1-Year,1190.99,3,0,3.6,0
C0409,19,Female,48,1-Year,250.62,0,1,,0
C0410,44,Male,66,Monthly,1288.26,2,0,1.4,0
C0411,59,Male,70,2-Year,1005.38,3,0,2.4,0
C0412,19,Male,28,Monthly,932.41,2,2,4.5,1
C0413,43,Male,26,2-Year,1012.0,3,0,1.8,0
C0414,34,Female,25,Monthly,1323.76,2,0,1.3,1
C0415,57,Male,12,2-Year,963.02,0,0,4.2,0
C0416,50,Male,5,1-Year,955.24,2,0,4.3,0
C0417,26,Female,48,2-Year,1487.88,1,1,1.7,1
C0418,60,Female,37,2-Year,1183.75,2,1,4.4,0
C0419,65,Female,44,Monthly,774.98,2,3,3.7,0
C0420,56,Female,15,2-Year,1119.62,4,1,3.1,0
C0421,46,Male,43,Monthly,706.0,0,1,4.3,0
C0422,59,Male,48,Monthly,497.54,2,2,2.7,1
C0423,43,Female,70,Monthly,975.91,0,1,1.8,0
C0424,52,Male,46,1-Year,1406.64,0,0,2.1,0
C0425,67,Male,43,Monthly,1407.88,1,1,3.0,1
C0426,42,Male,21,1-Year,644.48,2,1,3.1,0
C0427,41,Female,23,1-Year,885.98,0,1,4.2,0
C0428,30,Male,47,1-Year,475.13,1,1,4.2,0
C0429,24,Female,15,2-Year,1494.32,4,2,3.3,0
C0430,53,Male,25,Monthly,1475.45,3,0,4.1,0
C0431,62,Male,36,Monthly,1044.36,4,2,1.8,1
C0432,37,Male,51,Monthly,1245.74,2,2,1.2,1
C0433,18,Female,15,Monthly,1129.63,2,0,4.5,0
C0434,25,Male,68,Monthly,971.11,2,0,1.3,0
C0435,63,Female,21,Monthly,269.35,1,2,2.0,0
C0436,33,Female,13,Monthly,791.19,1,1,3.8,1
C0437,31,Female,19,2-Year,1077.22,1,1,2.6,1
C0438,29,Male,34,1-Year,1080.79,1,0,4.5,0
C0439,68,Male,68,Monthly,685.06,3,0,2.2,1
C0440,40,Male,52,1-Year,1424.2,2,0,1.0,1
C0441,32,Male,27,Monthly,417.56,2,0,2.2,1
C0442,45,Female,29,Monthly,850.47,2,0,3.3,1
C0443,51,Female,28,1-Year,1098.15,0,1,2.5,1
C0444,19,Female,35,1-Year,1106.28,1,1,3.1,0
C0445,49,Male,8,Monthly,1043.23,4,0,4.5,1
C0446,40,Female,16,2-Year,557.87,2,0,4.6,0
C0447,39,Male,36,2-Year,403.07,4,0,2.1,0
C0448,68,Female,30,1-Year,1026.72,4,1,2.8,0
C0449,42,Male,18,1-Year,979.09,2,3,3.2,1
C0450,39,Male,2,1-Year,433.16,1,1,4.8,0
C0451,39,Female,49,Monthly,1116.68,3,1,5.0,0
C0452,66,Female,4,Monthly,791.72,3,0,1.9,1
C0453,69,Female,7,Monthly,1068.09,1,1,3.9,1
C0454,59,Female,39,1-Year,1288.58,1,1,2.5,0
C0455,23,Male,13,1-Year,420.65,4,1,1.0,1
C0456,32,Female,31,Monthly,,1,1,1.0,0
C0457,60,Female,71,2-Year,1212.83,4,1,2.8,0
C0458,54,Female,63,2-Year,992.61,0,2,3.0,0
C0459,50,Male,56,1-Year,1109.53,3,2,1.1,0
